-105468.75,	5.06154,	-21.275,	-0.36774,	19.5542,	-24.6343,	12.2103,
-105392.456054688,	-6.93971,	5.20285,	-3.9311,	-14.2798,	0.752131,	-25.8308,
-105316.162109375,	15.488,	23.9399,	-0.215569,	-1.83375,	29.4974,	20.3707,
-105239.868164062,	-7.07326,	-12.9622,	-4.67005,	3.80986,	-43.724,	4.47699,
-105163.57421875,	-11.2888,	-19.468,	31.0285,	-1.51499,	46.1476,	-18.165,
-105087.280273438,	32.5653,	16.2992,	-40.753,	14.061,	-34.397,	14.1119,
-105010.986328125,	-51.936,	-5.17188,	21.1052,	-29.2227,	22.3707,	3.07867,
-104934.692382812,	41.7864,	5.3849,	-2.33797,	16.8608,	-1.39907,	-23.0957,
-104858.3984375,	-3.2742,	8.00337,	-4.37616,	5.44795,	-26.6259,	38.4835,
-104782.104492188,	-31.7391,	-24.7404,	10.7518,	0.939854,	41.6129,	-26.8817,
-104705.810546875,	40.5382,	21.0067,	-13.8996,	-16.5246,	-50.0646,	-2.48987,
-104629.516601562,	-22.9142,	-7.95676,	13.9773,	14.5797,	41.5894,	19.2812,
-104553.22265625,	-2.93111,	15.2948,	-18.2207,	-7.09417,	-30.661,	-17.0612,
-104476.928710938,	17.2355,	-28.6412,	8.72912,	10.4991,	32.6126,	-5.33612,
-104400.634765625,	-18.2577,	14.5883,	12.6785,	-20.1273,	-28.5255,	21.4247,
-104324.340820312,	4.11124,	4.74673,	-22.8026,	29.0619,	27.4941,	-10.0425,
-104248.046875,	17.8438,	-17.378,	19.4359,	-24.5773,	-26.2835,	2.58903,
-104171.752929688,	-22.8708,	25.3804,	-27.6183,	-2.5379,	7.25373,	-18.2282,
-104095.458984375,	7.2083,	-11.2787,	45.956,	12.1806,	6.71129,	23.3148,
-104019.165039062,	13.8298,	-15.5252,	-41.2725,	1.54883,	-4.9896,	-17.7977,
-103942.87109375,	-20.0353,	34.5169,	27.7349,	3.88925,	-3.9234,	23.0207,
